algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
ann_centre_only,0.573,0.526,0.381,0.585,0.35,0.447,0.498,0.601,0.559,0.578,0.107,0.122,0.12,0.11,0.119,0.124,0.104,0.111,0.115,0.107,Run
ann_top_left_only,0.469,0.472,0.387,0.492,0.515,0.358,0.392,0.504,0.629,0.529,0.127,0.112,0.119,0.12,0.113,0.116,0.131,0.113,0.111,0.114,Run
ann_avg,0.618,0.592,0.696,0.679,0.534,0.686,0.592,0.56,0.336,0.562,0.098,0.11,0.095,0.092,0.113,0.103,0.094,0.111,0.11,0.112,Run
ann_centric_avg,0.537,0.587,0.699,0.536,0.389,0.574,0.663,0.525,0.61,0.562,0.109,0.107,0.1,0.114,0.118,0.1,0.099,0.114,0.103,0.105,Run
ann_learnable_avg,0.652,0.515,0.692,0.578,0.582,0.569,0.627,0.635,0.537,0.493,0.098,0.11,0.101,0.101,0.108,0.111,0.095,0.106,0.113,0.101,Run
