algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
ann_centre_only,0.554,0.482,0.502,0.516,0.435,0.597,0.591,0.497,0.561,0.557,0.104,0.113,0.113,0.114,0.118,0.113,0.107,0.12,0.107,0.115,Run
ann_top_left_only,0.502,0.522,0.472,0.467,0.386,0.416,0.334,0.488,0.343,0.615,0.128,0.108,0.13,0.113,0.117,0.127,0.134,0.122,0.108,0.11,Run
